Date,GMEAN_OCHL,WeekNumber,Open,High,Low,Close
2000-01-01,14.07,1,14.18,14.18,13.87,14.07
2000-01-08,14.21,2,14.21,14.24,14.17,14.23
2000-01-15,14.06,3,14.2,14.2,13.93,13.93
2000-01-22,13.69,4,13.81,13.81,13.57,13.57
2000-01-29,13.63,5,13.51,13.77,13.51,13.74
2000-02-05,13.59,6,13.68,13.75,13.47,13.47
2000-02-12,13.33,7,13.41,13.43,13.24,13.24
2000-02-19,13.14,8,13.18,13.18,13.1,13.1
2000-02-26,13.16,9,13.07,13.27,13.07,13.24
2000-03-04,13.16,10,13.2,13.2,13.09,13.17
2000-03-11,13.30,11,13.04,13.59,13.01,13.58
2000-03-18,13.71,12,13.59,13.83,13.59,13.83
2000-03-25,13.91,13,13.86,13.97,13.83,13.97
2000-04-01,13.97,14,13.99,14.01,13.9,13.98
2000-04-08,13.78,15,13.97,14.04,13.56,13.56
2000-04-15,13.52,16,13.37,13.67,13.37,13.67
2000-04-22,13.77,17,13.7,13.91,13.7,13.78
2000-04-29,13.80,18,13.83,13.88,13.71,13.8
2000-05-06,13.86,19,13.81,13.94,13.76,13.94
2000-05-13,13.94,20,14,14.11,13.83,13.83
2000-05-20,13.62,21,13.71,13.71,13.53,13.53
2000-05-27,13.90,22,13.8,14.06,13.7,14.06
2000-06-03,14.10,23,14.08,14.17,14.08,14.09
2000-06-10,14.06,24,14.13,14.13,13.99,13.99
2000-06-17,13.97,25,14.04,14.04,13.91,13.91
2000-06-24,14.00,26,13.9,14.1,13.9,14.09
2000-07-01,14.24,27,14.26,14.26,14.19,14.24
2000-07-08,14.35,28,14.32,14.41,14.32,14.34
2000-07-15,14.16,29,14.27,14.27,14.05,14.05
2000-07-22,13.85,30,13.99,13.99,13.72,13.72
2000-07-29,13.81,31,13.72,13.91,13.72,13.91
2000-08-05,14.11,32,14.01,14.21,14.01,14.21
2000-08-12,14.30,33,14.27,14.34,14.27,14.31
2000-08-19,14.31,34,14.29,14.35,14.27,14.35
2000-08-26,14.33,35,14.35,14.38,14.23,14.38
2000-09-02,14.27,36,14.36,14.36,14.18,14.18
2000-09-09,14.02,37,14.13,14.13,13.91,13.91
2000-09-16,13.66,38,13.76,13.76,13.56,13.56
2000-09-23,13.61,39,13.59,13.65,13.55,13.65
2000-09-30,13.63,40,13.68,13.69,13.58,13.58
2000-10-07,13.35,41,13.51,13.51,13.2,13.2
2000-10-14,13.13,42,13.23,13.23,13,13.08
2000-10-21,13.24,43,13.15,13.33,13.15,13.33
2000-10-28,13.70,44,13.52,13.88,13.52,13.88
2000-11-04,13.79,45,13.93,13.93,13.66,13.66
2000-11-11,13.65,46,13.59,13.78,13.59,13.64
2000-11-18,13.47,47,13.52,13.52,13.38,13.47
2000-11-25,13.54,48,13.57,13.57,13.47,13.56
2000-12-02,13.74,49,13.69,13.8,13.68,13.78
